,Date,Module,Activity,,,
,8 Sep 20,0,Imagine UBC,,,
,10 Sep 20,0,Special,,,
,15 Sep 20,1,Lab,,,
,17 Sep 20,1,Mini Quiz,,,
,22 Sep 20,1,Lab,,,
,24 Sep 20,1,Lab,,,
,29 Sep 20,1,Midterm,,,
,1 Oct 20,2,Mini Quiz,,,
,6 Oct 20,2,Lab,,,
,8 Oct 20,2,Lab,,,
,13 Oct 20,2,Lab,,,
,15 Oct 20,2,Midterm,,,
,20 Oct 20,3,Special,,,
,22 Oct 20,3,Mini Quiz,,,
,27 Oct 20,3,Lab,,,
,29 Oct 20,3,Lab,,,
,3 Nov 20,3,Midterm,,,
,5 Nov 20,4,Mini Quiz,,,
,10 Nov 20,4,Lab,,,
,12 Nov 20,4,Lab,,,
,17 Nov 20,4,Lab,,,
,19 Nov 20,4,Midterm,,,
,24 Nov 20,5,Mini Quiz,,,
,26 Nov 20,5,Lab,,,
,1 Dec 20,5,Lab,,,
,3 Dec 20,5,Lab,,,
