geo_value,signal,source,geo_type,time_type,time_value,direction,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-01,NA,2023-03-10,221,0,5,5,45.4113392,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-01,NA,2022-08-02,1,0,5,5,27.6537396,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-02,NA,2023-03-10,220,0,5,5,44.9011361,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-02,NA,2022-08-03,1,0,5,5,27.6537396,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-03,NA,2023-03-10,219,0,5,5,44.548421,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-03,NA,2022-08-04,1,0,5,5,26.6324842,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-04,NA,2023-03-10,218,0,5,5,42.2858918,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-04,NA,2022-08-05,1,0,5,5,26.6324842,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-05,NA,2023-03-10,217,0,5,5,40.6700068,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-05,NA,2022-08-06,1,0,5,5,34.6205583,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-06,NA,2023-03-10,216,0,5,5,40.6406139,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-06,NA,2022-08-07,1,0,5,5,34.6205583,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-07,NA,2023-03-10,215,0,5,5,40.5985203,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-07,NA,2022-08-08,1,0,5,5,34.6205583,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-08,NA,2023-03-10,214,0,5,5,37.5057317,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-08,NA,2022-08-09,1,0,5,5,14.2158753,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-09,NA,2023-03-10,213,0,5,5,32.8950345,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-09,NA,2022-08-10,1,0,5,5,14.2158753,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-10,NA,2023-03-10,212,0,5,5,34.897382,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-10,NA,2022-08-11,1,0,5,5,23.2252048,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-11,NA,2023-03-10,211,0,5,5,33.2121878,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-11,NA,2022-08-12,1,0,5,5,23.2252048,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-12,NA,2023-03-10,210,0,5,5,32.709968,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-12,NA,2022-08-13,1,0,5,5,22.2485133,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-13,NA,2023-03-10,209,0,5,5,32.6675116,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-13,NA,2022-08-14,1,0,5,5,22.2485133,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-14,NA,2023-03-10,208,0,5,5,32.6551738,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-14,NA,2022-08-15,1,0,5,5,22.2485133,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-15,NA,2023-03-10,207,0,5,5,31.070859,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-15,NA,2022-08-16,1,0,5,5,29.7556689,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-16,NA,2023-03-10,206,0,5,5,33.707513,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-16,NA,2022-08-17,1,0,5,5,29.7556689,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-17,NA,2023-03-10,205,0,5,5,30.9500214,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-17,NA,2022-08-18,1,0,5,5,19.4279915,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-18,NA,2023-03-10,204,0,5,5,29.9956586,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-18,NA,2022-08-19,1,0,5,5,19.4279915,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-19,NA,2023-03-10,203,0,5,5,28.0898361,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-19,NA,2022-08-20,1,0,5,5,18.7038286,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-20,NA,2023-03-10,202,0,5,5,28.0941906,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-20,NA,2022-08-21,1,0,5,5,18.7038286,NA,NA
ca,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-21,NA,2023-03-10,201,0,5,5,28.0836672,NA,NA
wa,confirmed_7dav_incidence_prop,jhu-csse,state,day,2022-08-21,NA,2022-08-22,1,0,5,5,18.7038286,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-01,NA,2023-03-09,220,0,5,5,0.1045082,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-01,NA,2022-08-02,1,0,5,5,0.1689713,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-02,NA,2023-03-09,219,0,5,5,0.1055968,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-02,NA,2022-08-03,1,0,5,5,0.1689713,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-03,NA,2023-03-09,218,0,5,5,0.1066854,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-03,NA,2022-08-04,1,0,5,5,0.172685,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-04,NA,2023-03-09,217,0,5,5,0.1124914,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-04,NA,2022-08-05,1,0,5,5,0.172685,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-05,NA,2023-03-09,216,0,5,5,0.1157573,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-05,NA,2022-08-06,1,0,5,5,0.2246762,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-06,NA,2023-03-09,215,0,5,5,0.1161202,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-06,NA,2022-08-07,1,0,5,5,0.2246762,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-07,NA,2023-03-09,214,0,5,5,0.1161202,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-07,NA,2022-08-08,1,0,5,5,0.2246762,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-08,NA,2023-03-09,213,0,5,5,0.1128543,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-08,NA,2022-08-09,1,0,5,5,0.1355484,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-09,NA,2023-03-09,212,0,5,5,0.1121286,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-09,NA,2022-08-10,1,0,5,5,0.1355484,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-10,NA,2022-08-11,1,0,5,5,0.1099513,NA,NA
wa,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-10,NA,2022-08-11,1,0,5,5,0.1448326,NA,NA
ca,deaths_7dav_incidence_prop,jhu-csse,state,day,2022-08-11,NA,2022-08-12,1,0,5,5,0.1063225,NA,NA
